,movie,lead
446,Pyaar Ka Punchnama 2,Kartik Aaryan
447,Wedding Pullav,Diganth
448,Shaandaar,Shahid Kapoor
449,Titli (2014 film),Nawazuddin Siddiqui
450,Guddu Ki Gun,Kunal Khemu
451,The Silent Heroes,Mann Bagga
452,Ranbanka,Manish Paul
453,Sholay,Sanjeev Kumar
454,Dedh Ishqiya,Madhuri Dixit
455,Karle Pyaar Karle,Shiv Darshan
456,Om-Dar-B-Dar,Gopi Desai
457,Paranthe Wali Gali,Mohinder Gujral
458,Strings of Passion,Zeenat Aman
459,Gunday,Ranveer Singh
460,Jai Ho (film),Salman Khan
461,Hasee Toh Phasee,Sidharth Malhotra
462,Heartless (2014 film),Adhyayan Suman
463,Ya Rab,Indrapal Ahuja
464,Darr @ the Mall,Jimmy Sheirgill
465,One by Two (2014 film),Abhay Deol
466,Babloo Happy Hai,Sahil Anand
467,Highway (2014 Hindi film),Alia Bhatt
468,Gulabi Gang (film),Sampat Pal Devi
469,Shaadi Ke Side Effects,Farhan Akhtar
470,Gulaab Gang,Madhuri Dixit
471,Queen (2014 film),Kangana Ranaut
472,Bewakoofiyaan,Ayushmann Khurrana
473,Total Siyapaa,Ali Zafar
474,Karar: The Deal,Mahek Chahal
475,Lakshmi (2014 film),Monali Thakur
476,Ragini MMS 2,Sunny Leone
477,Dishkiyaoon,Harman Baweja
478,Ankhon Dekhi,Sanjay Mishra
479,Gang of Ghosts,Sharman Joshi
480,Anuradha (2014 film),Sachin Khedekar
481,W (2014 film),Leeza Mangaldas
482,O Teri,Pulkit Samrat
483,Honour Killing (film),Zara Sheikh
484,2 States (2014 film),Arjun Kapoor
485,Jal (film),Purab Kohli
486,Bhoothnath Returns,Amitabh Bachchan
487,Main Tera Hero,Varun Dhawan
488,Lucky Kabootar,Arvinder Bhatti
489,Station (2014 film),Kanika Batra
490,Youngistaan,Jackky Bhagnani
491,Samrat & Co.,Rajeev Khandelwal
492,Purani Jeans,Tanuj Virwani
493,Kya Dilli Kya Lahore,Vijay Raaz
494,Koyelaanchal,Kannan Arunachalam
495,Manjunath (film),Anjori Alagh
496,Dekh Tamasha Dekh,Satish Kaushik
497,Mastram,Rahul Bagga
498,The Xposé,Himesh Reshammiya
499,Children of War (2014 film),Farooq Shaikh
500,Hawaa Hawaai,Makrand Deshpande
501,Kahin Hai Mera Pyar,Eesha Agarwal
502,Kuku Mathur Ki Jhand Ho Gayi,Siddharth Gupta
503,Heropanti,Tiger Shroff
504,CityLights (2014 film),Rajkummar Rao
505,Filmistaan,Sharib Hashmi
506,Revolver Rani,Kangana Ranaut
507,Kaanchi: The Unbreakable,Kartik Aaryan
508,Machhli Jal Ki Rani Hai,Swara Bhaskar
509,Khwaabb,Simer Motiani
510,Yeh Hai Bakrapur,Anshuman Jha
511,Ek Villain,Sidharth Malhotra
512,Bobby Jasoos,Vidya Balan
513,Humshakals,Saif Ali Khan
514,Humpty Sharma Ki Dulhania,Varun Dhawan
515,Hate Story 2,Jay Bhanushali
516,Lekar Hum Deewana Dil,Armaan Jain
517,Riyasat (film),Rajesh Khanna
518,Amit Sahni Ki List,Vir Das
519,Holiday: A Soldier Is Never Off Duty,Akshay Kumar
520,Fugly (film),Jimmy Sheirgill
521,Bazaar E Husn,Reshmi Ghosh
522,Pizza (2014 film),Akshay Oberoi
523,Entertainment (2014 film),Akshay Kumar
524,Singham Returns,Anupam Kher
525,Mardaani,Rani Mukerji
526,Raja Natwarlal,Emraan Hashmi
527,Mary Kom (film),Priyanka Chopra
528,Creature 3D,Bipasha Basu
529,Finding Fanny,Deepika Padukone
530,Khoobsurat (2014 film),Sonam Kapoor
531,3 A.M. (2014 film),Salil Acharya
532,Kick (2014 film),Salman Khan
533,Mad About Dance,Saahil Prem
534,Mumbhai Connection,Alieesa P Badresia
535,Life Is Beautiful (2014 film),Manoj Amarnani
536,Desi Kattey,Sasha Aagha
537,Haider (film),Tabu
538,Bang Bang!,Hrithik Roshan
539,Spark (2014 film),Rati Agnihotri
540,Daawat-e-Ishq,Aditya Roy Kapoor
541,Balwinder Singh Famous Ho Gaya,Asrani
542,Jigariyaa,Harshvardhan Deo
543,Tamanchey,Nikhil Dwivedi
544,Mumbai 125 KM,Karanvir Bohra
545,Meinu Ek Ladki Chaahiye,Puru Chibber
546,Chaarfutiya Chhokare,Soha Ali Khan
547,Sonali Cable,Rhea Chakraborty
548,Happy New Year (2014 film),Shah Rukh Khan
549,Super Nani,Rekha
550,Ekkees Toppon Ki Salaami,Anupam Kher
551,Rang Rasiya,Randeep Hooda
552,The Shaukeens,Akshay Kumar
553,Roar: Tigers of the Sundarbans,Aadil Chahal
554,A Decent Arrangement,Shabana Azmi
555,Gollu Aur Pappu,Dimple Kapadia
556,Titoo MBA,Nishant Dahiya
557,Kill Dil,Ranveer Singh
558,Ungli,Emraan Hashmi
559,Happy Ending (film),Saif Ali Khan
560,Zed Plus,Vinod Acharya
561,Zid (2014 film),Mannara Chopra
562,Action Jackson (2014 film),Prabhas
563,Bhopal: A Prayer for Rain,Mischa Barton
564,Mumbai Delhi Mumbai,Shiv Panditt
565,Badlapur Boys,Annu Kapoor
566,Main Aur Mr. Riight,Barun Sobti
567,Ugly (film),Rahul Bhat
568,PK (film),Aamir Khan
569,Dehraadun Diary,Adhyayan Suman
570,Matru Ki Bijlee Ka Mandola,Imran Khan
571,Sulemani Keeda,Naveen Kasturia
572,Inkaar (2013 film),Arjun Rampal
573,Gangoobai,Sarita Joshi
574,Akaash Vani,Kartik Aaryan
575,Main Krishna Hoon,Juhi Chawla
576,Race 2,Saif Ali Khan
577,Bandook,Manisha Kelkar
578,Listen... Amaya,Farooq Shaikh
579,Special 26,Akshay Kumar
580,Murder 3,Randeep Hooda
581,Zila Ghaziabad,Vivek Oberoi
582,Kai Po Che!,Rajkummar Rao
583,Bloody Isshq,Akash
584,Saare Jahaan Se Mehnga,Vishwa Mohan Badola
585,3G (film),Neil Nitin Mukesh
586,Mere Dad Ki Maruti,Saqib Saleem
587,Jolly LLB,Arshad Warsi
588,Saheb Biwi Aur Gangster Returns,Jimmy Sheirgill
589,Mai (2013 film),Asha Bhosle
590,Vishwaroopam,Kamal Haasan
591,Rangrezz,Jackky Bhagnani
592,Aashiqui 2,Aditya Roy Kapoor
593,Ek Thi Daayan,Emraan Hashmi
594,Himmatwala (2013 film),Ajay Devgn
595,Nautanki Saala!,Ayushmann Khurrana
596,Jayantabhai Ki Luv Story,Vivek Oberoi
597,Commando: A One Man Army,Vidyut Jammwal
598,Bombay Talkies (film),Rani Mukerji
599,Go Goa Gone,Saif Ali Khan
600,Gippi,Riya Vij
601,Aurangzeb (film),Arjun Kapoor
602,Ishkq in Paris,Preity Zinta
603,Zindagi 50-50,Veena Malik
604,Yeh Jawaani Hai Deewani,Ranbir Kapoor
605,Fukrey,Pulkit Samrat
606,Chhota Bheem and the Throne of Bali,Rupa Bhimani
607,Raanjhanaa,Dhanush
608,Ankur Arora Murder Case,Kay Kay Menon
609,Shortcut Romeo,Neil Nitin Mukesh
610,Ghanchakkar (film),Vidya Balan
611,Hum Hai Raahi Car Ke,Anupam Kher
612,Policegiri,Sanjay Dutt
613,Bhaag Milkha Bhaag,Farhan Akhtar
614,Sixteen (2013 Indian film),Wamiqa Gabbi
615,B.A. Pass,Shadab Kamal
616,Enemmy,Sunil Shetty
617,Issaq,Prateik
618,Bajatey Raho,Tusshar Kapoor
619,Luv U Soniyo,Tanuj Virwani
620,Nasha (film),Poonam Pandey
621,Chor Chor Super Chor,Deepak Dobriyal
622,Calapor (film),Hemant Gopal
623,Love in Bombay,Joy Mukherjee
624,D-Day (2013 film),Rishi Kapoor
625,Siddharth (2013 film),Rajesh Tailang
626,Once Upon ay Time in Mumbai Dobaara!,Akshay Kumar
627,Madras Cafe,John Abraham
628,Satyagraha (film),Amitabh Bachchan
629,Shuddh Desi Romance,Sushant Singh Rajput
630,Ramaiya Vastavaiya,Shruti Haasan
631,Chennai Express,Deepika Padukone
632,Grand Masti,Vivek Oberoi
633,John Day (film),Naseeruddin Shah
634,Horror Story (film),Karan Kundrra
635,Phata Poster Nikhla Hero,Shahid Kapoor
636,Ship of Theseus (film),Aida Elkashef
637,The Lunchbox,Irrfan Khan
638,Baat Bann Gayi,Anisa Butt
639,Boss (2013 Hindi film),Akshay Kumar
640,Shahid (film),Rajkummar Rao
641,Mickey Virus,Manish Paul
642,Satya 2,Puneet Singh Ratn
643,Rajjo,Kangana Ranaut
644,Maazii,Sumit Nijhawan
645,Sooper Se Ooper,Tinnu Anand
646,Prague (2013 film),Chandan Roy Sanyal
